latitude,longitude,sorting
56.333,-164.133,1.91
56.266,-165.083,2
56.485,-162.55833,0.36
55.88,-168.735,0.74
56.40333,-163.7,1.03
56.32367,-164.99167,1.70453
56.366,-164.533,2.12
56.50167,-163.03833,0.43
56.19867,-166.41083,1.6888
56.538,-162.63,0.38
56.7095,-159.8955,0.83792
56.74283,-159.41233,1.24438
56.1483,-167.1158,2.5488
56.02417,-168.25667,1.4172
56.75,-159.833,0.64
56.71667,-160.51667,1.04
56.199,-166.92,1.52
56.1062,-167.7693,2.4549
56.683,-161.233,0.61
56.666333333333334,-161.57316666666668,1.138
56.74,-160.33,2.4
56.633,-162.2,1.26
56.39667,-165.30333,1.26
56.716,-161.35,1.16
56.50667,-164.27833,1.37
56.82433,-159.6855,0.56075
56.14167,-168,0.71
56.73167,-161.52167,0.6
56.51667,-164.5,1.42
56.666,-162.7,1.31
56.35767,-166.41317,1.7116
56.49833,-164.98833,1.55
56.65,-163.483,1.57
56.758,-161.995,0.77
56.93517,-158.86767,0.52762
56.19867,-168.33217,1.9574
56.885,-160.52267,0.60952
56.83,-161.58,0.72
56.667,-163.96,1.17
56.3268,-167.4515,2.6009
56.99133,-159.00133,0.80884
56.25,-168.35333,2.6
56.34667,-167.61833,2.24
56.19833,-168.88,1.06
56.67167,-164.44333,1.14
56.12083,-169.5545,3.7123
57.03,-159.1,0.65
56.1305,-169.5443,3.1358
56.13433,-169.54317,3.1601
56.89667,-161.785,0.46
56.0894,-170.0496,2.041
56.2263,-169.0235,2.0953
56.0965,-170.0477,1.9038
56.08333,-170.16667,0.63
56.3273,-168.2888,2.609
56.997,-160.63,0.57
56.603,-165.9,1.39
57,-160.866,1.33
57.001333333333335,-160.95283333333333,0.502
56.566,-166.42217,1.6118
57.08967,-159.2835,0.76446
56.67167,-165.38167,1.18
56.8,-164,1.86
56.75,-164.6,2.2
56.9,-162.75,1.16
57.05,-160.333,1.1
56.452,-167.67233,1.63
56.115,-170.393,0.95
57,-161.7,0.94
56.9275,-162.78417,1.1885
56.10533,-170.55867,3.2898
57.00283,-161.999,0.44245
56.62783,-166.43633,1.703
56.232,-169.8268,1.7049
56.97833,-162.78633,1.2711
56.362,-169.03167,2.3225
56.3613,-169.0415,2.5762
57,-162.667,0.41
56.29833,-169.58717,1.81
57.08,-161.68,0.85
56.24883,-170.0585,1.4942
56.966,-163.316,1.42
57.05,-162.166,1.26
56.40667,-168.89667,0.76
56.983,-163.183,0.26666
56.5265,-167.9823,2.3603
56.5295,-167.977,2.3191
56.318,-169.7,2.76
56.3247,-169.69167,2.1295
56.4388,-168.9245,2.0589
56.85133,-165.15533,1.5282
56.40267,-169.21583,1.94
56.66733,-167.05367,1.7632
56.5787,-167.9045,1.9481
56.6973,-166.9213,2.1166
56.517,-168.5,0.68
56.3787,-169.6242,2.0321
56.3815,-169.6263,2.6364
56.27,-170.46,1.43
56.6073,-167.8683,2.1454
56.6112,-167.8623,2.0861
56.4915,-168.8575,1.7289
56.39933,-169.59383,0.77
57.283,-159.528,0.46
56.5037,-168.837,1.8866
56.91,-165.14,1.49
57.342333333333336,-158.40216666666666,0.833
57.11567,-162.79833,1.1689
56.5357,-168.79,1.5827
57.342,-158.967,1.86
57.25,-160.93,1.59
57.25,-160.933,1.61
56.6053,-168.2855,1.9388
56.74867,-167.0565,1.5016
57,-164.50333,1.13413
56.3755,-170.1538,2.2516
56.6777,-167.7733,1.8399
56.5618,-168.7477,1.6705
56.592,-168.5075,0.79
57.38483,-158.31833,1.7237
56.41,-169.945,0.73
57.36767,-158.96667,0.90893
57.066,-164,1.79
56.5685,-168.90667,1.2815
57.418,-158.175,0.96
57.213,-162.258,0.35
57.266,-161.433,0.46
57.331,-160.294,0.921
56.7945,-167.05817,1.595
56.4905,-169.5915,2.21
57.4,-158.983,0.95
56.432,-170.09417,1.429
57.42,-158.63,0.73
56.602,-168.884,1.4024
56.6378,-168.6373,1.8044
56.7538,-167.6752,2.005
56.82433,-167.06533,1.677
57.066,-164.616,2.04
57.325,-161.097,0.66
56.76333,-167.74167,1.47
56.568,-169.375,1.64
56.47583,-170.083,1.4469
57.383,-160.316,1.19
56.48167,-170.055,1.26
57.46667,-158.53333,0.64
56.48667,-170.0662,2.2636
56.53933,-169.76417,0.63
56.86867,-167.0715,1.5555
56.783,-167.958,0.91851
57.25,-163.083,0.45
57.17033,-164.16133,1.6193
56.4053,-170.97167,1.9828
56.916,-166.916,1.37778
57.47,-159.75,0.8
57,-166.166,1.45185
56.9075,-167.075,1.5245
56.5637,-169.9393,2.1392
56.61767,-169.5935,0.56
57.5,-159.5,0.57
56.63867,-169.49617,2.35
56.62683,-169.631,1.54
56.59883,-169.86183,2.51
57.10833,-165.425,1.32
57.467,-160.667,0.49
56.60267,-169.93933,0.74
57.20467,-164.47433,1.5819
56.6995,-169.216,0.68
57.35167,-162.62,0.29
56.6285,-169.78167,1.61
56.7072,-169.1808,1.4208
57.3,-163.366,0.96
57.165,-165.072,1.63
56.69783,-169.3805,0.79
57.5,-160.5,0.66
56.7977,-168.6048,2.2362
56.79833,-168.601,2.0646
57.12167,-165.68833,1.14
57.416,-162.166,0.92
56.86667,-168.15,0.74
56.71517,-169.49467,1.7078
56.71567,-169.55617,0.68
56.69883,-169.69133,1.23
57.583,-159.666,0.9
57.65333,-157.92,0.6
57.633,-158.55,0.77
56.79883,-169.014,0.79
57.5,-161.5,0.47
57.55,-160.85,0.99
56.74733,-169.59533,1.2764
56.7965,-169.32533,0.8
56.6198,-170.6692,2.2408
57.682,-158.65333,0.88
57.616,-160.25,1.23
56.796,-169.45933,0.74
57.098,-167.002,1.06
57.65533,-159.7695,0.52762
57.5,-162.5,0.37
56.884,-168.9033,1.5167
57.09383,-167.10567,1.6493
56.664,-170.5998,2.2866
56.7965,-169.63117,0.86
57.67,-159.63333333333333,0.85
57.7,-158.983,0.68
57.333,-164.916,1.11
56.82167,-169.5975,1.0647
56.691,-170.5737,2.2485
57.6,-161.466,1.09
57.723,-159.09,0.59
56.79133,-169.9325,0.64
57.535,-162.667,0.34
57.383,-164.616,1.91
57.013,-168.2653,1.5185
56.63667,-171.13333,1.01
56.862,-169.5203,1.7836
56.775,-170.183,1.39259
57.4,-164.53333,1.02
56.9555,-168.8043,1.522
56.745,-170.4832,2.3062
56.889,-169.423,0.67
57.565,-162.605,0.27
57.5,-163.5,0.43
57.8,-158.05,0.67
56.886,-169.5675,0.92
56.9965,-168.7385,1.4327
57.022,-168.551,0.7
56.98083,-168.91167,0.69
56.88317,-169.7055,0.72
57.30333,-166.05833,1.26
56.74233,-170.7465,1.5874
56.983,-169.017,1.06
56.9365,-169.4143,1.3912
57.6,-162.733,0.75
56.8072,-170.3957,2.4093
56.891,-169.862,0.9
56.98167,-169.21167,0.85
56.89083,-170.02683,0.54
56.9508,-169.6393,1.5823
56.92667,-169.935,0.25
57.1203,-168.5585,1.461
56.99,-169.64483,0.96
57.633,-163.433,1.26
56.995,-169.638,0.73
56.6667,-171.9667,0.76
