width,station,num.b,meas.b,num.n,meas.n,depth,netwidth,temp,phi,area.n,area.b
73,O25,8,8,18.2096,6,95,17.654,-0.2,5.291280223,0.014905952,0.001766
73,O26,13,13,12,12,104,17.11,1.8,5.668704942,0.013623533,0.001917
73,O27,26,26,30,30,116,17.873,2.1,5.926751027,0.014444706,0.002441
73,ON2524,3,3,1.7636,1,93,17.654,1.2,5.161146292,0.01480301,0.00174
73,ON2625,2,2,3,3,102,17.654,1.9,5.422878264,0.014216243,0.001867
73,P20,4,2,3.1718,1,53,16.541,-1.3,4.417112406,0.013527348,0.001825
73,P22,6,6,3.2977,1,69,17.975,-1.5,4.755803026,0.014511419,0.001909
73,P24,0,0,2,2,65,17.432,-1,4.740610892,0.014347497,0.001689
73,P26,5,5,6,6,97,18.02,0.6,5.834476673,0.01460554,0.00235
73,P27,9,9,8,8,108,17.26,1.2,6.220015486,0.014115351,0.001956
73,P31,1,1,4,4,135,17.362,2,5.917210233,0.013540714,0.002941
73,P32,5,5,0,0,141,17.008,2.1,5.049570539,0.012877846,0.002357
73,PO2423,1,1,4,4,76,17.475,-1.3,4.763223757,0.014601968,0.001967
73,PO2524,2,2,5,5,80,17.738,-1.2,5.013458814,0.014387317,0.001763
73,PO2625,2,2,1,1,94,17.955,-0.3,5.502575852,0.014673258,0.002079
73,PO2726,13,13,15,15,106,17.782,1.3,5.964650876,0.014091204,0.002411
73,Q25,0,0,2,2,63,17.533,0,5.212279699,0.006895825,0.001558
73,Q26,32.518,7,187.0551,3,90,19.413,-0.2,5.945693096,0.015632713,0.002159
73,Q30,3,3,7,7,137,18.04,2.1,6.254995441,0.014274615,0.002419
73,Q31,0,0,6,6,147,18.04,2,6.005221973,0.014006375,0.002255
73,QP2524,1,1,1,1,60,16.227,0.5,4.899938737,0.009324872,0.001514
73,QP2625,8,8,1,1,87,17.674,0.4,5.642188314,0.013995314,0.001856
73,QP2726,45,45,4,4,100,18.343,0.6,6.156088468,0.014455544,0.002417
73,R22,1.997,1,8.5312,1,62,18.679,-1.6,5.324869919,0.015313941,0.001636
73,R29,197.45,22,188.5368,12,118,17.438,1.7,6.378360304,0.014067725,0.002035
73,R30,23,23,43.4057,13,129,18.04,2,6.348531674,0.014479741,0.0024
73,R31,13,13,38,38,147,18.177,2,6.085079067,0.014764589,0.002316
73,R32,0,0,2,2,162,18.177,2.5,5.085582753,0.014663897,0.002538
73,S28,4.448,1,38.1082,1,102,16.785,1,6.443201463,0.013340289,0.002063
73,S29,41.65,5,201.6674,2,111,16.76,1.7,6.394496666,0.013452353,0.002414
73,S30,14.666,2,186.3579,3,122,17.873,1.9,6.3905984,0.013897558,0.001952
73,S31,29.14,5,83.2945,5,132,18.04,2.1,6.093261242,0.014232538,0.002154
73,T25,0,0,7.9795,1,73,18.98,-1.4,5.657105228,0.015671389,0.001628
73,T30,47.915,5,0,0,117,17.873,1.8,6.407144772,0.013954879,0.001966
73,U25,1,1,9.4361,1,70,17.28,-1.5,5.850253486,0.014046061,0.001649
73,U26,0,0,17.5698,3,76,17.273,-1.4,5.880490713,0.013934615,0.001589
73,V25,5,5,7.6634,1,62,16.656,-1.5,6.051011526,0.013330029,0.001749
73,V26,0,0,14.2167,1,72,17.396,-1.5,5.80326188,0.014551172,0.001544
78,F18,3,3,2,2,107,17.882,2.3,3.309177913,0.013930624,0.002155
78,F22,7,7,2,2,113,17.814,3.7,3.66151186,0.01465671,0.001968
78,G18,0,0,3,3,81,17.73,-0.5,3.210886413,0.015709323,0.001757
78,G22,2,2,0,0,94,16.924,2.9,3.504982695,0.014116886,0.002027
78,H18,0,0,1,1,74,17.655,-0.7,3.312258852,0.015714934,0.001505
78,H23,1,1,1,1,99,17.653,3.5,4.207180244,0.014313227,0.002664
78,I18,3,3,10,10,71,17.168,-0.2,3.464881134,0.01426035,0.001726
78,I21,0,0,2,2,73,15.877,-0.3,3.407365428,0.012535312,0.001424
78,I22,4,4,2.6888,2,84,16.847,1.8,3.995256604,0.013787421,0.002207
78,I23,23,23,10.1822,7,99,17.1,2.8,4.53177275,0.013869834,0.002579
78,IH2120,0,0,2,2,69,19.724,-0.5,3.084690721,0.01393945,0.001573
78,IH2221,0,0,1,1,74,16.502,2.8,3.536009676,0.013586867,0.001467
78,J18,0,0,2,2,69,17.01,-1.3,3.53616725,0.013955533,0.001729
78,J19,0,0,4,4,70,17.674,-1.4,3.383303385,0.016108009,0.001967
78,J20,1,1,7,7,70,17.531,-1.3,3.420389645,0.014342088,0.001781
78,J21,2,2,5.5584,3,74,21.313,-0.7,3.782849245,0.017883537,0.001866
