 pcapture.data.selectmodel.males
    width station    num.b meas.b     num.n meas.n depth netwidth temp      phi      area.n   area.b
46     25     P26   21.000     21    2.0000      2    97   18.020  0.6 5.834477 0.014605540 0.002350
47     25     P32    6.000      6    0.0000      0   141   17.008  2.1 5.049571 0.012877846 0.002357
48     25  PO2423    2.000      2    0.0000      0    76   17.475 -1.3 4.763224 0.014601968 0.001967
49     25  PO2524   28.000     28    2.0000      2    80   17.738 -1.2 5.013459 0.014387317 0.001763
50     25  PO2625    8.000      8    2.0000      2    94   17.955 -0.3 5.502576 0.014673258 0.002079
51     25  PO2726    3.000      3    0.0000      0   106   17.782  1.3 5.964651 0.014091204 0.002411
52     25     Q20    9.048      3   23.6455      5    53   16.401 -1.5 4.688582 0.013183330 0.001657
53     25     Q25    5.000      5    7.0000      7    63   17.533  0.0 5.212280 0.006895825 0.001558
54     25     Q26   19.012      2    0.0000      0    90   19.413 -0.2 5.945693 0.015632713 0.002159
55     25     Q31    6.000      6    2.0000      2   147   18.040  2.0 6.005222 0.014006375 0.002255
56     25  QP2423    7.000      7    5.0000      5    58   16.121  1.7 4.594350 0.013696183 0.001747
57     25  QP2524    0.000      0    1.0000      1    60   16.227  0.5 4.899939 0.009324872 0.001514
58     25  QP2625   77.000     77    3.0000      3    87   17.674  0.4 5.642188 0.013995314 0.001856
59     25  QP2726    5.000      5    0.0000      0   100   18.343  0.6 6.156088 0.014455544 0.002417
60     25     R29    8.975      1    0.0000      0   118   17.438  1.7 6.378360 0.014067725 0.002035
61     25     R31    1.000      1    0.0000      0   147   18.177  2.0 6.085079 0.014764589 0.002316
62     25     S22    3.185      1   17.2988      1    60   18.326 -1.4 6.151658 0.014965762 0.001771
63     25     S29   58.310      7    0.0000      0   111   16.760  1.7 6.394497 0.013452353 0.002414
64     25     S30   36.665      5    0.0000      0   122   17.873  1.9 6.390598 0.013897558 0.001952
65     25     S31    0.000      0   16.6589      1   132   18.040  2.1 6.093261 0.014232538 0.002154
66     25     T25   41.760     20   15.9590      2    73   18.980 -1.4 5.657105 0.015671389 0.001628
67     25     U25   54.000     54   28.3083      3    70   17.280 -1.5 5.850253 0.014046061 0.001649
68     25     U26  139.000    139  122.9886     21    76   17.273 -1.4 5.880491 0.013934615 0.001589
69     25     V25 1814.113    172  559.4282     73    62   16.656 -1.5 6.051012 0.013330029 0.001749
70     25     V26  263.648     88  383.8509     27    72   17.396 -1.5 5.803262 0.014551172 0.001544
71     35     H18    3.000      3    2.0000      2    74   17.655 -0.7 3.312259 0.015714934 0.001505
72     35     I18    6.000      6    0.0000      0    71   17.168 -0.2 3.464881 0.014260350 0.001726
73     35     I21    2.000      2    0.0000      0    73   15.877 -0.3 3.407365 0.012535312 0.001424
74     35     I23    0.000      0    1.4546      1    99   17.100  2.8 4.531773 0.013869834 0.002579
75     35     J18   38.000     38   52.0000     52    69   17.010 -1.3 3.536167 0.013955533 0.001729
76     35     J19   20.000     20   33.0000     33    70   17.674 -1.4 3.383303 0.016108009 0.001967
77     35     J20   19.000     19    6.0000      6    70   17.531 -1.3 3.420390 0.014342088 0.001781
78     35     J21    2.000      2    0.0000      0    74   21.313 -0.7 3.782849 0.017883537 0.001866
79     35     J22    2.000      2    0.0000      0    86   17.659  1.2 4.363528 0.014132744 0.002204
80     35  JI2019    8.000      8   21.0000     21    66   16.210 -1.4 3.256648 0.013214119 0.001637
81     35  JI2120    0.000      0    2.0000      2    71   16.959 -1.1 3.396841 0.013854358 0.001986
82     35  JI2221    1.000      1    0.0000      0    77   17.237  0.3 3.883140 0.014156848 0.001922
83     35     K20   27.000     27    6.0000      6    69   17.227 -1.4 3.628744 0.014038138 0.001657
84     35     K21   31.000     31   14.0000     14    73   16.812 -1.2 4.014178 0.014244035 0.001774
85     35     L20   11.000     11    2.0000      2    67   17.602 -1.1 3.825626 0.014241084 0.001801
86     35     L21    9.000      9    1.0000      1    73   16.830 -1.4 4.260149 0.014195496 0.001732
87     35     L22    3.000      3    0.0000      0    82   17.487 -0.1 4.762806 0.014142943 0.001803
88     35     L23    2.000      2    0.0000      0    92   17.397  1.2 5.095623 0.014065082 0.001973
89     35     L24    0.000      0    1.0000      1   101   17.608  2.1 5.139559 0.014071393 0.002287
90     35     N20    2.000      2    4.7043      3    60   16.650 -1.2 4.226803 0.014014547 0.001513
91     35     N21   35.000     35   19.3713     13    68   16.959 -1.5 4.659263 0.013547802 0.001949
92     35     N22   10.000     10   14.5443      3    75   17.666 -1.5 4.932028 0.014704910 0.001568
93     35     N24   24.000     24   33.6336      6    87   17.360 -0.4 5.126624 0.013771977 0.002281
94     35     N25    3.000      3    0.0000      0   102   17.654  1.6 5.248365 0.014334626 0.002505
95     35     O20   14.000     14  115.0320     60    56   17.214 -1.4 4.336546 0.014288522 0.001493
96     35     O22   28.000     28   46.5888     16    72   18.317 -1.5 4.847791 0.015305537 0.001688
97     35     O24   74.000     74   53.9005      5    84   17.360 -1.1 4.952239 0.014338850 0.001958
98     35     O25    4.000      4    8.1048      2    95   17.654 -0.2 5.291280 0.014905952 0.001766
99     35     O26    0.000      0    1.0000      1   104   17.110  1.8 5.668705 0.013623533 0.001917
100    35  ON2524    4.000      4   12.3452      7    93   17.654  1.2 5.161146 0.014803010 0.001740
101    35     P20   62.000     31   47.5770     15    53   16.541 -1.3 4.417112 0.013527348 0.001825
102    35     P22   12.000     12    9.8931      3    69   17.975 -1.5 4.755803 0.014511419 0.001909
103    35     P24    2.000      2    2.0000      2    65   17.432 -1.0 4.740611 0.014347497 0.001689
104    35     P25    0.000      0    5.0000      5    75   17.444 -1.1 5.172185 0.005858907 0.001701
105    35     P26   13.000     13    8.0000      8    97   18.020  0.6 5.834477 0.014605540 0.002350
106    35     P31    3.000      3    0.0000      0   135   17.362  2.0 5.917210 0.013540714 0.002941
107    35  PO2423   15.000     15   69.4316      7    76   17.475 -1.3 4.763224 0.014601968 0.001967
108    35  PO2524    4.000      4    0.0000      0    80   17.738 -1.2 5.013459 0.014387317 0.001763
109    35  PO2625   29.000     29   17.0000     17    94   17.955 -0.3 5.502576 0.014673258 0.002079
110    35  PO2726    3.000      3    4.0000      4   106   17.782  1.3 5.964651 0.014091204 0.002411
111    35     Q20  208.104     69  458.7227     97    53   16.401 -1.5 4.688582 0.013183330 0.001657
112    35     Q25    0.000      0   12.0000     12    63   17.533  0.0 5.212280 0.006895825 0.001558
113    35     Q26   38.024      4    0.0000      0    90   19.413 -0.2 5.945693 0.015632713 0.002159
114    35     Q31   11.000     11    4.0000      4   147   18.040  2.0 6.005222 0.014006375 0.002255
115    35  QP2423    1.000      1    2.0000      2    58   16.121  1.7 4.594350 0.013696183 0.001747
116    35  QP2524    0.000      0    2.0000      2    60   16.227  0.5 4.899939 0.009324872 0.001514
117    35  QP2625   26.000     26    3.0000      3    87   17.674  0.4 5.642188 0.013995314 0.001856
118    35  QP2726    1.000      1    0.0000      0   100   18.343  0.6 6.156088 0.014455544 0.002417
119    35     R22    1.997      1    0.0000      0    62   18.679 -1.6 5.324870 0.015313941 0.001636
120    35     R26   15.285      3   28.4171      1    86   17.189 -0.8 5.983782 0.013350664 0.002373
121    35     R29    0.000      0   62.8456      4   118   17.438  1.7 6.378360 0.014067725 0.002035
122    35     R30    1.000      1    0.0000      0   129   18.040  2.0 6.348532 0.014479741 0.002400
123    35     R31    1.000      1    2.0000      2   147   18.177  2.0 6.085079 0.014764589 0.002316
124    35     S22    9.555      3   59.9127      4    60   18.326 -1.4 6.151658 0.014965762 0.001771
125    35     S28    4.448      1  114.3246      3   102   16.785  1.0 6.443201 0.013340289 0.002063
126    35     S29  141.610     17  100.8337      1   111   16.760  1.7 6.394497 0.013452353 0.002414
127    35     S30   36.665      5   62.1193      1   122   17.873  1.9 6.390598 0.013897558 0.001952
128    35     T25   54.288     26  151.6105     19    73   18.980 -1.4 5.657105 0.015671389 0.001628
129    35     T30    0.000      0  158.8869      1   117   17.873  1.8 6.407145 0.013954879 0.001966
130    35     U25   59.000     59  245.3386     26    70   17.280 -1.5 5.850253 0.014046061 0.001649
131    35     U26   28.000     28  216.6942     37    76   17.273 -1.4 5.880491 0.013934615 0.001589
132    35     V25  190.854     18  206.9118     27    62   16.656 -1.5 6.051012 0.013330029 0.001749
133    35     V26  287.616     96 1151.5527     81    72   17.396 -1.5 5.803262 0.014551172 0.001544
134    45     H18    0.000      0    2.0000      2    74   17.655 -0.7 3.312259 0.015714934 0.001505
135    45     I18   10.000     10    5.0000      5    71   17.168 -0.2 3.464881 0.014260350 0.001726
136    45     I22    1.000      1    0.0000      0    84   16.847  1.8 3.995257 0.013787421 0.002207
137    45     J18    6.000      6   13.0000     13    69   17.010 -1.3 3.536167 0.013955533 0.001729
138    45     J19    8.000      8    7.0000      7    70   17.674 -1.4 3.383303 0.016108009 0.001967
139    45     J20   15.000     15    3.0000      3    70   17.531 -1.3 3.420390 0.014342088 0.001781
140    45     J21    1.000      1    0.0000      0    74   21.313 -0.7 3.782849 0.017883537 0.001866
141    45     J22    0.000      0    1.0000      1    86   17.659  1.2 4.363528 0.014132744 0.002204
142    45  JI2019    2.000      2   10.0000     10    66   16.210 -1.4 3.256648 0.013214119 0.001637
143    45  JI2120    0.000      0    2.0000      2    71   16.959 -1.1 3.396841 0.013854358 0.001986
144    45  JI2221    1.000      1    0.0000      0    77   17.237  0.3 3.883140 0.014156848 0.001922
145    45     K20    3.000      3    1.0000      1    69   17.227 -1.4 3.628744 0.014038138 0.001657
146    45     K21    5.000      5    8.0000      8    73   16.812 -1.2 4.014178 0.014244035 0.001774
147    45     K22    0.000      0    1.0000      1    84   17.182  0.3 4.584010 0.014312055 0.001790
148    45     L20    1.000      1    3.0000      3    67   17.602 -1.1 3.825626 0.014241084 0.001801
149    45     L21    1.000      1    2.0000      2    73   16.830 -1.4 4.260149 0.014195496 0.001732
150    45     L22    0.000      0    1.0000      1    82   17.487 -0.1 4.762806 0.014142943 0.001803
151    45     L23    0.000      0    1.0000      1    92   17.397  1.2 5.095623 0.014065082 0.001973
152    45     L24    2.000      2    0.0000      0   101   17.608  2.1 5.139559 0.014071393 0.002287
153    45     N20    1.000      1  188.1720    120    60   16.650 -1.2 4.226803 0.014014547 0.001513
154    45     N21    8.000      8    8.9406      6    68   16.959 -1.5 4.659263 0.013547802 0.001949
155    45     N22   13.000     13   33.9367      7    75   17.666 -1.5 4.932028 0.014704910 0.001568
156    45     N24  141.790    135  112.1120     20    87   17.360 -0.4 5.126624 0.013771977 0.002281
157    45     N25   16.000     16   25.7562      6   102   17.654  1.6 5.248365 0.014334626 0.002505
158    45     O20   44.000     44  249.2360    130    56   17.214 -1.4 4.336546 0.014288522 0.001493
159    45     O22   14.000     14   34.9416     12    72   18.317 -1.5 4.847791 0.015305537 0.001688
160    45     O24   76.000     76  312.6229     29    84   17.360 -1.1 4.952239 0.014338850 0.001958
161    45     O25   36.000     36   32.4192      8    95   17.654 -0.2 5.291280 0.014905952 0.001766
162    45     O26    1.000      1    0.0000      0   104   17.110  1.8 5.668705 0.013623533 0.001917
163    45     O27    0.000      0    1.0000      1   116   17.873  2.1 5.926751 0.014444706 0.002441
164    45  ON2524   43.000     43   28.2176     16    93   17.654  1.2 5.161146 0.014803010 0.001740
165    45  ON2625    1.000      1    1.0000      1   102   17.654  1.9 5.422878 0.014216243 0.001867
166    45     P20   74.000     37  174.4490     55    53   16.541 -1.3 4.417112 0.013527348 0.001825
167    45     P22   18.000     18   56.0609     17    69   17.975 -1.5 4.755803 0.014511419 0.001909
168    45     P24    0.000      0    2.0000      2    65   17.432 -1.0 4.740611 0.014347497 0.001689
169    45     P25    0.000      0    1.0000      1    75   17.444 -1.1 5.172185 0.005858907 0.001701
170    45     P26   30.000     30   12.0000     12    97   18.020  0.6 5.834477 0.014605540 0.002350
171    45     P31   10.000     10   13.0000     13   135   17.362  2.0 5.917210 0.013540714 0.002941
172    45     P32    1.000      1    0.0000      0   141   17.008  2.1 5.049571 0.012877846 0.002357
173    45  PO2423   28.000     28   89.2692      9    76   17.475 -1.3 4.763224 0.014601968 0.001967
174    45  PO2524    2.000      2    5.0000      5    80   17.738 -1.2 5.013459 0.014387317 0.001763
175    45  PO2625   20.000     20   34.0000     34    94   17.955 -0.3 5.502576 0.014673258 0.002079
176    45  PO2726    2.000      2    4.0000      4   106   17.782  1.3 5.964651 0.014091204 0.002411
177    45     Q20  199.056     66  491.8264    104    53   16.401 -1.5 4.688582 0.013183330 0.001657
178    45     Q25    2.000      2    6.0000      6    63   17.533  0.0 5.212280 0.006895825 0.001558
179    45     Q26  743.468     80  436.4619      7    90   19.413 -0.2 5.945693 0.015632713 0.002159
180    45     Q31    3.000      3    0.0000      0   147   18.040  2.0 6.005222 0.014006375 0.002255
181    45  QP2423    1.000      1    1.0000      1    58   16.121  1.7 4.594350 0.013696183 0.001747
182    45  QP2524    0.000      0    1.0000      1    60   16.227  0.5 4.899939 0.009324872 0.001514
183    45  QP2625    2.000      2    4.0000      4    87   17.674  0.4 5.642188 0.013995314 0.001856
184    45  QP2726   11.000     11  145.0740     15   100   18.343  0.6 6.156088 0.014455544 0.002417
185    45     R22  203.694    102  904.3072    106    62   18.679 -1.6 5.324870 0.015313941 0.001636
186    45     R26  422.885     83  625.1762     22    86   17.189 -0.8 5.983782 0.013350664 0.002373
187    45     R29   35.900      4  377.0736     24   118   17.438  1.7 6.378360 0.014067725 0.002035
188    45     R30    3.000      3    3.3389      1   129   18.040  2.0 6.348532 0.014479741 0.002400
189    45     R31    1.000      1    6.0000      6   147   18.177  2.0 6.085079 0.014764589 0.002316
190    45     S22  343.980    108 2801.1394    163    60   18.326 -1.4 6.151658 0.014965762 0.001771
191    45     S28  128.992     29  952.7050     25   102   16.785  1.0 6.443201 0.013340289 0.002063
192    45     S29  666.400     80 1109.1707     11   111   16.760  1.7 6.394497 0.013452353 0.002414
193    45     S30  109.995     15  372.7158      6   122   17.873  1.9 6.390598 0.013897558 0.001952
194    45     T25  248.472    119 1244.8020    156    73   18.980 -1.4 5.657105 0.015671389 0.001628
195    45     T30  383.320     40 3654.3987     23   117   17.873  1.8 6.407145 0.013954879 0.001966
196    45     U25  138.000    138  792.6324     84    70   17.280 -1.5 5.850253 0.014046061 0.001649
197    45     U26   27.000     27  468.5280     80    76   17.273 -1.4 5.880491 0.013934615 0.001589
198    45     V25  206.854     34  613.0720     80    62   16.656 -1.5 6.051012 0.013330029 0.001749
199    45     V26  132.824     45  952.5189     67    72   17.396 -1.5 5.803262 0.014551172 0.001544
200    55     F18    3.000      3    3.0000      3   107   17.882  2.3 3.309178 0.013930624 0.002155
201    55     F22    1.000      1    0.0000      0   113   17.814  3.7 3.661512 0.014656710 0.001968
202    55     G18    0.000      0    6.0000      6    81   17.730 -0.5 3.210886 0.015709323 0.001757
203    55     G22    1.000      1    1.0000      1    94   16.924  2.9 3.504983 0.014116886 0.002027
204    55  GF2221    0.000      0    1.0000      1   100   17.421  3.3 3.231405 0.014236860 0.002465
205    55     H18    0.000      0    4.0000      4    74   17.655 -0.7 3.312259 0.015714934 0.001505
206    55     I18    3.000      3    5.0000      5    71   17.168 -0.2 3.464881 0.014260350 0.001726
207    55     I22    3.000      3    5.3776      4    84   16.847  1.8 3.995257 0.013787421 0.002207
208    55     I23    1.000      1    1.4546      1    99   17.100  2.8 4.531773 0.013869834 0.002579
209    55  IH2120    1.000      1    3.0000      3    69   19.724 -0.5 3.084691 0.013939450 0.001573
210    55     J18    2.000      2    3.0000      3    69   17.010 -1.3 3.536167 0.013955533 0.001729
211    55     J19    2.000      2    6.0000      6    70   17.674 -1.4 3.383303 0.016108009 0.001967
212    55     J20    5.000      5    3.0000      3    70   17.531 -1.3 3.420390 0.014342088 0.001781
213    55     J21    2.000      2    1.8528      1    74   21.313 -0.7 3.782849 0.017883537 0.001866
214    55     J22    2.000      2    0.0000      0    86   17.659  1.2 4.363528 0.014132744 0.002204
215    55     J23    3.000      3    4.0000      4    98   17.654  2.0 4.825663 0.014478744 0.002223
216    55     J24   11.000     11    1.0000      1   104   17.238  2.2 4.898352 0.010564225 0.001779
217    55     J25    1.000      1    0.0000      0   108   18.310  2.8 4.497125 0.016933220 0.002364
218    55  JI2019    3.000      3    5.0000      5    66   16.210 -1.4 3.256648 0.013214119 0.001637
219    55  JI2120    0.000      0    2.0000      2    71   16.959 -1.1 3.396841 0.013854358 0.001986
220    55  JI2221    5.000      5    0.0000      0    77   17.237  0.3 3.883140 0.014156848 0.001922
221    55     K20    3.000      3    4.0000      4    69   17.227 -1.4 3.628744 0.014038138 0.001657
222    55     K21    2.000      2    2.0000      2    73   16.812 -1.2 4.014178 0.014244035 0.001774
223    55     K22    1.000      1    0.0000      0    84   17.182  0.3 4.584010 0.014312055 0.001790
224    55     K23    3.000      3    2.0000      2    95   17.373  1.8 5.003959 0.014136851 0.001984
225    55     K24    2.000      2    1.0000      1   102   17.068  2.5 5.064306 0.013814022 0.002303
226    55     L20    5.000      5    4.0000      4    67   17.602 -1.1 3.825626 0.014241084 0.001801
227    55     L21    5.000      5    4.0000      4    73   16.830 -1.4 4.260149 0.014195496 0.001732
228    55     L22    7.000      7    6.0000      6    82   17.487 -0.1 4.762806 0.014142943 0.001803
229    55     L23   10.000     10    4.0000      4    92   17.397  1.2 5.095623 0.014065082 0.001973
230    55     L24    2.000      2    1.0000      1   101   17.608  2.1 5.139559 0.014071393 0.002287
231    55     L25    0.000      0    2.0000      2   112   17.441  2.6 4.907496 0.014004040 0.002199
232    55     N20    5.000      5   83.1093     53    60   16.650 -1.2 4.226803 0.014014547 0.001513
233    55     N21  131.000    131   98.3466     66    68   16.959 -1.5 4.659263 0.013547802 0.001949
234    55     N22  118.000    118  344.2151     71    75   17.666 -1.5 4.932028 0.014704910 0.001568
235    55     N24   84.790     78   95.2952     17    87   17.360 -0.4 5.126624 0.013771977 0.002281
236    55     N25   39.000     39   42.9270     10   102   17.654  1.6 5.248365 0.014334626 0.002505
237    55     N26    3.000      3    1.0000      1   110   17.280  2.1 5.396135 0.014423914 0.002565
238    55     O20   21.000     21   59.4332     31    56   17.214 -1.4 4.336546 0.014288522 0.001493
239    55     O22   62.000     62  133.9428     46    72   18.317 -1.5 4.847791 0.015305537 0.001688
240    55     O24   31.000     31   75.4607      7    84   17.360 -1.1 4.952239 0.014338850 0.001958
241    55     O25   18.000     18   24.3144      6    95   17.654 -0.2 5.291280 0.014905952 0.001766
242    55     O26    1.000      1    8.0000      8   104   17.110  1.8 5.668705 0.013623533 0.001917
243    55     O27    6.000      6    9.0000      9   116   17.873  2.1 5.926751 0.014444706 0.002441
244    55  ON2524   15.000     15   17.6360     10    93   17.654  1.2 5.161146 0.014803010 0.001740
245    55  ON2625    5.000      5    1.0000      1   102   17.654  1.9 5.422878 0.014216243 0.001867
246    55     P20   74.000     37  209.3388     66    53   16.541 -1.3 4.417112 0.013527348 0.001825
247    55     P22   93.000     93  201.1597     61    69   17.975 -1.5 4.755803 0.014511419 0.001909
248    55     P24    0.000      0    2.0000      2    65   17.432 -1.0 4.740611 0.014347497 0.001689
249    55     P25    1.000      1    0.0000      0    75   17.444 -1.1 5.172185 0.005858907 0.001701
250    55     P26    6.000      6    8.0000      8    97   18.020  0.6 5.834477 0.014605540 0.002350
251    55     P27    4.000      4    3.0000      3   108   17.260  1.2 6.220015 0.014115351 0.001956
252    55     P30    1.000      1    9.0000      9   141   17.568  2.4 6.085942 0.013706497 0.002482
253    55     P31   22.000     22   23.0000     23   135   17.362  2.0 5.917210 0.013540714 0.002941
254    55     P32    1.000      1    0.0000      0   141   17.008  2.1 5.049571 0.012877846 0.002357
255    55  PO2423   60.000     60  198.3760     20    76   17.475 -1.3 4.763224 0.014601968 0.001967
256    55  PO2524    6.000      6    2.0000      2    80   17.738 -1.2 5.013459 0.014387317 0.001763
257    55  PO2625    1.000      1    3.0000      3    94   17.955 -0.3 5.502576 0.014673258 0.002079
258    55  PO2726    4.000      4    6.0000      6   106   17.782  1.3 5.964651 0.014091204 0.002411
259    55     Q20   54.288     18  113.4984     24    53   16.401 -1.5 4.688582 0.013183330 0.001657
260    55     Q25    1.000      1    1.0000      1    63   17.533  0.0 5.212280 0.006895825 0.001558
261    55     Q26  884.058     93 1558.7925     25    90   19.413 -0.2 5.945693 0.015632713 0.002159
262    55     Q30    1.000      1    8.0000      8   137   18.040  2.1 6.254995 0.014274615 0.002419
263    55     Q31    5.000      5    5.0000      5   147   18.040  2.0 6.005222 0.014006375 0.002255
264    55  QP2423    0.000      0    1.0000      1    58   16.121  1.7 4.594350 0.013696183 0.001747
265    55  QP2625    5.000      5    3.0000      3    87   17.674  0.4 5.642188 0.013995314 0.001856
266    55  QP2726    7.000      7  145.0740     15   100   18.343  0.6 6.156088 0.014455544 0.002417
267    55     R22  213.679    107  844.5888     99    62   18.679 -1.6 5.324870 0.015313941 0.001636
268    55     R26  208.895     41  227.3368      8    86   17.189 -0.8 5.983782 0.013350664 0.002373
269    55     R29   62.825      7   94.2684      6   118   17.438  1.7 6.378360 0.014067725 0.002035
270    55     R30   33.000     33   73.4558     22   129   18.040  2.0 6.348532 0.014479741 0.002400
271    55     R31    2.000      2   17.0000     17   147   18.177  2.0 6.085079 0.014764589 0.002316
272    55     R32    1.000      1    0.0000      0   162   18.177  2.5 5.085583 0.014663897 0.002538
273    55     S22  101.920     32  914.3040     55    60   18.326 -1.4 6.151658 0.014965762 0.001771
274    55     S28  133.440     30  571.6230     15   102   16.785  1.0 6.443201 0.013340289 0.002063
275    55     S29  624.750     75 1512.5055     15   111   16.760  1.7 6.394497 0.013452353 0.002414
276    55     S30  234.656     32 1490.8632     24   122   17.873  1.9 6.390598 0.013897558 0.001952
277    55     S31  105.525     15  316.5191     19   132   18.040  2.1 6.093261 0.014232538 0.002154
278    55     T25   56.376     27  279.2825     35    73   18.980 -1.4 5.657105 0.015671389 0.001628
279    55     T30  373.737     39 2224.4166     14   117   17.873  1.8 6.407145 0.013954879 0.001966
280    55     U25   51.000     51  434.0606     46    70   17.280 -1.5 5.850253 0.014046061 0.001649
281    55     U26   19.000     19  189.2447     33    76   17.273 -1.4 5.880491 0.013934615 0.001589
282    55     V25  143.221     76  237.5654     31    62   16.656 -1.5 6.051012 0.013330029 0.001749
283    55     V26   60.940     31  326.9841     23    72   17.396 -1.5 5.803262 0.014551172 0.001544
284    65     F18   10.000     10   28.0000     28   107   17.882  2.3 3.309178 0.013930624 0.002155
285    65     F21    0.000      0    1.0000      1    97   17.654  2.3 3.031825 0.014396391 0.002062
286    65     F22    2.000      2    1.0000      1   113   17.814  3.7 3.661512 0.014656710 0.001968
287    65     G18    3.000      3   19.0000     19    81   17.730 -0.5 3.210886 0.015709323 0.001757
288    65     G22    6.000      6    0.0000      0    94   16.924  2.9 3.504983 0.014116886 0.002027
289    65  GF2221    1.000      1    0.0000      0   100   17.421  3.3 3.231405 0.014236860 0.002465
290    65     H18    6.000      6    3.0000      3    74   17.655 -0.7 3.312259 0.015714934 0.001505
291    65     I18    9.000      9   16.0000     16    71   17.168 -0.2 3.464881 0.014260350 0.001726
292    65     I21    4.000      4    5.0000      5    73   15.877 -0.3 3.407365 0.012535312 0.001424
293    65     I22    3.000      3    9.4108      7    84   16.847  1.8 3.995257 0.013787421 0.002207
294    65     I23    4.000      4    4.3638      3    99   17.100  2.8 4.531773 0.013869834 0.002579
295    65  IH2120    2.000      2    8.0000      8    69   19.724 -0.5 3.084691 0.013939450 0.001573
